Contabilización;Comprobante;;;;Cliente;;;Gravados;;;
Asiento;Fecha;Tipo;Nº;CAE;CUIT;Nombre o Razón Social;IVA;ING;IVA;Total;Observaciones
527) - 30097;01/04/2026;F A;00003-00000518;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;1.280.068,43;268.814,37;1.548.882,80;Carpeta 01-2026 
528) - 30098;01/04/2026;F A;00003-00000519;Sí;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;1.221.153,33;256.442,20;1.477.595,53;Carpeta 01-2026 
529) - 30099;01/04/2026;F B;00003-00001055;Sí;30-62425407-0;OS PRENSA ROSARIO;E;868.034,52;182.287,25;1.050.321,77;Periodo Marzo 2026  
530) - 30100;01/04/2026;F B;00003-00001056;Sí;30-62425407-0;OS PRENSA ROSARIO;E;969.516,63;203.598,49;1.173.115,12;Periodo Marzo 2026 
531) - 30101;01/04/2026;F B;00003-00001057;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;2.213.141,23;464.759,66;2.677.900,89;Periodo Marzo 2026
532) - 30102;01/04/2026;F B;00003-00001058;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;778.072,47;163.395,22;941.467,69;Periodo Marzo 2026 
533) - 30103;01/04/2026;F B;00003-00001059;Sí;30-59965970-2;OSPERYH;E;2.284.458,12;479.736,21;2.764.194,33;Periodo Marzo 2026 
534) - 30104;01/04/2026;F B;00003-00001060;Sí;30-59545956-3;OSPERYHRA;E;480.938,55;100.997,10;581.935,65;Periodo Marzo 2026 
542) - 30238;01/04/2026;F B;00003-00001061;Sí;30-53331924-2;FATERYH;E;9.137.832,48;1.918.944,82;11.056.777,30;Periodo Marzo 2026
535) - 30106;01/04/2026;F B;00003-00001062;Sí;30-52954331-6;SUTERH;E;1.923.754,21;403.988,38;2.327.742,59;Periodo Marzo 2026 
536) - 30107;01/04/2026;F B;00003-00001063;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;385.000,00;80.850,00;465.850,00;Periodo Marzo 2026 
537) - 30108;01/04/2026;F B;00003-00001064;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;4.950.000,00;1.039.500,00;5.989.500,00;Periodo Marzo 2026 
538) - 30109;01/04/2026;F B;00003-00001065;Sí;30-59965970-2;OSPERYH;E;9.128.802,95;1.917.048,62;11.045.851,57;Periodo Marzo 2026 
539) - 30110;01/04/2026;F B;00003-00001066;Sí;30-59545956-3;OSPERYHRA;E;1.081.081,22;227.027,06;1.308.108,28;Periodo Marzo 2026 
540) - 30111;01/04/2026;F B;00003-00001067;Sí;30-60956813-1;OSPILM;E;2.820.278,73;592.258,53;3.412.537,26;Carpeta 01-2026
631) - 30244;15/04/2026;F B;00003-00001068;Sí;30-59965970-2;OSPERYH;E;40.834.686,47;8.575.284,16;49.409.970,63;Periodo Abril 2026
632) - 30374;15/04/2026;F B;00003-00001069;Sí;30-59545956-3;OSPERYHRA;E;5.364.026,79;1.126.445,63;6.490.472,42;Período Abril 2026
716) - 30537;30/04/2026;F A;00003-00000520;Sí;30-52297151-7;APDIS;RI;2.017.576,20;423.691,00;2.441.267,20;Periodo Abril 2026
717) - 30538;30/04/2026;F A;00003-00000521;Sí;30-70495386-7;OSLERA;RI;305.706,58;64.198,38;369.904,96;Periodo Abril 2026
740) - 30539;05/05/2026;F A;00003-00000522;Sí;33-68915085-9;GEA S.A.;RI;1.218.985,29;255.986,91;1.474.972,20;Período Abril 2026
761) - 30570;05/05/2026;F A;00003-00000523;Sí;30-52297151-7;APDIS;RI;380.380,00;79.879,80;460.259,80;Período Abril 2026
741) - 30541;05/05/2026;F A;00003-00000524;Sí;33-52208216-9;CAMPSIC;RI;24.000,00;5.040,00;29.040,00;Período Abril 2026
742) - 30542;05/05/2026;F A;00003-00000525;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;175.692,00;36.895,32;212.587,32;Período Abril 2026
756) - 30564;05/05/2026;F A;00003-00000526;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;2.730.525,15;573.410,26;3.303.935,41;Carpeta 02-2026
757) - 30565;05/05/2026;F A;00003-00000527;Sí;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;2.598.514,76;545.688,09;3.144.202,85;Carpeta 02-2026
758) - 30566;05/05/2026;F A;00003-00000528;Sí;30-52297151-7;APDIS;RI;2.361.520,86;495.919,38;2.857.440,24;Periodo Abril 2026
759) - 30567;05/05/2026;F A;00003-00000529;Sí;30-70495386-7;OSLERA;RI;317.489,97;66.672,89;384.162,86;Periodo Abril 2026
743) - 30543;05/05/2026;F B;00003-00001070;Sí;30-62425407-0;OS PRENSA ROSARIO;E;868.034,52;182.287,25;1.050.321,77;Período Abril 2026 
744) - 30544;05/05/2026;F B;00003-00001071;Sí;30-62425407-0;OS PRENSA ROSARIO;E;969.516,63;203.598,49;1.173.115,12;Período Abril 2026
