Regisoft Contabilidad y Gestión;;;;;;;;;;;;Pág. 1 / 1;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EPL CONSULTORES SRL, Av. Dr. Honorio Pueyrredon 328 - Dto:8, 1405 CABA, Capital.  Responsable Inscripto 30-71193999-3;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Libro Mayor;;;;;;;;;;;;;;
Desde  01/01/2026  hasta  31/12/2026;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
01.01.01.01 - CAJA (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      337);;;28/02/26;Compras: s/F A  Nº -00217648 - TELEFONICA MOVILES ARGENT;;;127.500,74;;;;250.115,27;;;
      492);;;28/03/26;Compras: s/F A  Nº -00224458 - TELEFONICA MOVILES ARGENT;;;147.362,36;;;;397.477,63;;;
      677);;;28/04/26;Compras: s/F A  Nº -00227019 - TELEFONICA MOVILES ARGENT;;;151.254,66;;;;548.732,29;;;
;;;;;;;548.732,29;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.02.10 - GASTOS DE LIBRERIA (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      520);;;31/03/26;Insumos de Libreria;;;34.492,80;;;;34.492,80;;;
;;;;;;;34.492,80;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.02.18 - GASTOS DE OFICINA (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      67);;;05/01/26;Tarjeta de Credito Visa;;;681.357,88;;;;681.357,88;;;
      243);;;02/02/26;Tarjeta de Credito Visa;;;165.160,65;;;;846.518,53;;;
      385);;;02/03/26;Tarjeta de Credito Visa;;;129.572,10;;;;976.090,63;;;
      487);;;26/03/26;Compras: s/F A  Nº -00044516 - DINAMICA COMERCIAL  SRL;;;15.702,48;;;;991.793,11;;;
      596);;;06/04/26;Tarjeta de Credito Visa;;;180.107,12;;;;1.171.900,23;;;
      739);;;04/05/26;Tarjeta de Credito Visa;;;90.059,87;;;;1.261.960,10;;;
      769);;;06/05/26;Compras: s/F A  Nº -00044953 - DINAMICA COMERCIAL  SRL;;;17.355,37;;;;1.279.315,47;;;
      799);;;12/05/26;Compras: s/F A  Nº -00051342 - SANTA FE COMERCIAL SOCIEDAD DE RESPONSAB;;;13.152,00;;;;1.292.467,47;;;
;;;;;;;1.292.467,47;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.02.23 - GASTOS DE ASESORAMIENTO ORG. (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      435);;;12/03/26;Compras: s/NC A  Nº -00000102 - LOPEZ FERNANDO ANDRES;;;;;672.400,00;;-672.400,00;;;
      436);;;12/03/26;Compras: s/NC A  Nº -00000103 - LOPEZ FERNANDO ANDRES;;;;;698.000,00;;-1.370.400,00;;;
      437);;;12/03/26;Compras: s/NC A  Nº -00000104 - LOPEZ FERNANDO ANDRES;;;;;698.000,00;;-2.068.400,00;;;
;;;;;;;0,00;;2.068.400,00;;;;;
;;;;;;;;;;;;;;
04.02.02.26 - CONTRIBUCIONES (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      198);;;31/01/26;Devengamiento Sueldos Enero 2026;;;5.059.703,05;;;;5.059.703,05;;;
      344);;;28/02/26;Devengamiento Sueldos Febrero 2026;;;5.154.722,63;;;;10.214.425,68;;;
      521);;;31/03/26;Devengamiento Sueldos Marzo 2026;;;5.052.854,17;;;;15.267.279,85;;;
      715);;;30/04/26;Devengamiento Sueldos Abril 2026;;;5.127.839,18;;;;20.395.119,03;;;
;;;;;;;20.395.119,03;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.02.27 - ART (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      198);;;31/01/26;Devengamiento Sueldos Enero 2026;;;803.543,52;;;;803.543,52;;;
      344);;;28/02/26;Devengamiento Sueldos Febrero 2026;;;818.576,17;;;;1.622.119,69;;;
      521);;;31/03/26;Devengamiento Sueldos Marzo 2026;;;803.787,26;;;;2.425.906,95;;;
      715);;;30/04/26;Devengamiento Sueldos Abril 2026;;;823.997,89;;;;3.249.904,84;;;
;;;;;;;3.249.904,84;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.02.28 - SEGURO DE VIDA OBLIGATORIO (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      198);;;31/01/26;Devengamiento Sueldos Enero 2026;;;4.028,16;;;;4.028,16;;;
      344);;;28/02/26;Devengamiento Sueldos Febrero 2026;;;4.028,16;;;;8.056,32;;;
      521);;;31/03/26;Devengamiento Sueldos Marzo 2026;;;5.107,44;;;;13.163,76;;;
      715);;;30/04/26;Devengamiento Sueldos Abril 2026;;;5.107,44;;;;18.271,20;;;
;;;;;;;18.271,20;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.02.29 - SINDICATO (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      117);;;16/01/26;Pago de Deuda Sindical Inacap;;;279.804,98;;;;279.804,98;;;
      198);;;31/01/26;Devengamiento Sueldos Enero 2026;;;137.789,70;;;;417.594,68;;;
      344);;;28/02/26;Devengamiento Sueldos Febrero 2026;;;137.789,70;;;;555.384,38;;;
      521);;;31/03/26;Devengamiento Sueldos Marzo 2026;;;137.789,70;;;;693.174,08;;;
      715);;;30/04/26;Devengamiento Sueldos Abril 2026;;;137.789,70;;;;830.963,78;;;
;;;;;;;830.963,78;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.02.32 - SERVICIOS DIGITALES (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      39);;;02/01/26;Compras: s/F A  Nº -00025183 - MINDER S A;;;45.239,93;;;;45.239,93;;;
      174);;;28/01/26;Compras: s/F A  Nº -00004173 - CONTATECH;;;30.000,00;;;;75.239,93;;;
      190);;;31/01/26;Compras: s/F A  Nº -00005793 - GOLAWARE S.R.L.;;;617.400,00;;;;692.639,93;;;
      235);;;02/02/26;Compras: s/F A  Nº -00026325 - MINDER S A;;;46.506,65;;;;739.146,58;;;
      315);;;24/02/26;Compras: s/F A  Nº -00004751 - CONTATECH;;;33.000,00;;;;772.146,58;;;
      335);;;28/02/26;Compras: s/F A  Nº -00006029 - GOLAWARE S.R.L.;;;606.900,00;;;;1.379.046,58;;;
      379);;;02/03/26;Compras: s/F A  Nº -00027509 - MINDER S A;;;47.855,34;;;;1.426.901,92;;;
      503);;;31/03/26;Compras: s/F A  Nº -00006272 - GOLAWARE S.R.L.;;;606.900,00;;;;2.033.801,92;;;
      588);;;06/04/26;Compras: s/F A  Nº -00029025 - MINDER S A;;;49.243,15;;;;2.083.045,07;;;
      685);;;28/04/26;Compras: s/F A  Nº -00006295 - CONTATECH;;;33.000,00;;;;2.116.045,07;;;
      711);;;30/04/26;Compras: s/F A  Nº -00006557 - GOLAWARE S.R.L.;;;606.900,00;;;;2.722.945,07;;;
      732);;;04/05/26;Compras: s/F A  Nº -00030317 - MINDER S A;;;50.917,41;;;;2.773.862,48;;;
;;;;;;;2.773.862,48;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.02.33 - BENEFICIOS AL PERSONAL (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      41);;;02/01/26;Pago Autonomos Socio Gerente;;;122.460,30;;;;122.460,30;;;
      91);;;12/01/26;Beneficio Soledad Pascale;;;204.378,66;;;;326.838,96;;;
      110);;;16/01/26;Beneficio Soledad Pascale;;;119.242,36;;;;446.081,32;;;
      129);;;19/01/26;Por Beneficios al personal;;;177.039,85;;;;623.121,17;;;
      148);;;21/01/26;Beneficios al personal;;;1.456.660,50;;;;2.079.781,67;;;
      153);;;22/01/26;Compras: s/F A  Nº -00010321 - NUBI S.A.;;;54.624,77;;;;2.134.406,44;;;
      241);;;02/02/26;Pago Autonomos Socio Gerente;;;125.485,06;;;;2.259.891,50;;;
      276);;;13/02/26;Compras: s/F A  Nº -00010690 - NUBI S.A.;;;36.416,51;;;;2.296.308,01;;;
      277);;;13/02/26;Beneficios al personal;;;971.107,00;;;;3.267.415,01;;;
      290);;;18/02/26;Beneficio Soledad Pascale;;;119.242,36;;;;3.386.657,37;;;
      325);;;25/02/26;Beneficio Soledad Pascale;;;67.245,13;;;;3.453.902,50;;;
      416);;;09/03/26;Compras: s/F A  Nº -00011035 - NUBI S.A.;;;1.201,86;;;;3.455.104,36;;;
      433);;;12/03/26;Compras: s/F A  Nº -00011087 - NUBI S.A.;;;37.500,00;;;;3.492.604,36;;;
      439);;;12/03/26;Beneficios al personal;;;1.000.000,00;;;;4.492.604,36;;;
      449);;;16/03/26;Beneficio Soledad Pascale;;;119.242,36;;;;4.611.846,72;;;
      479);;;25/03/26;Beneficios al personal;;;201.409,34;;;;4.813.256,06;;;
      504);;;31/03/26;Compras: s/F A  Nº -00011241 - NUBI S.A.;;;1.342,98;;;;4.814.599,04;;;
      613);;;09/04/26;Pago Autonomos Socio Gerente;;;132.778,36;;;;4.947.377,40;;;
      628);;;14/04/26;Beneficios al personal;;;1.000.000,00;;;;5.947.377,40;;;
      635);;;16/04/26;Compras: s/F A  Nº -00011544 - NUBI S.A.;;;37.500,00;;;;5.984.877,40;;;
      636);;;16/04/26;Beneficio Soledad Pascale;;;119.242,36;;;;6.104.119,76;;;
;;;;;;;6.104.119,76;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.02.34 - GASTOS PREPAGAS (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      85);;;09/01/26;Gasto Personal OSDE;;;1.391.614,39;;;;1.391.614,39;;;
      92);;;12/01/26;Gastos de Prepaga Swiss 2026/01;;;97.343,07;;;;1.488.957,46;;;
      159);;;23/01/26;Compras: s/F A  Nº -00237670 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;104.024,53;;;;1.592.981,99;;;
      159);;;23/01/26;Compras: s/F A  Nº -00237670 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;2.080,49;;;;1.595.062,48;;;
      164);;;23/01/26;Gasto Personal;;;111.792,98;;;;1.706.855,46;;;
      262);;;06/02/26;Gasto Personal OSDE;;;768.368,29;;;;2.475.223,75;;;
      269);;;10/02/26;Gastos de Prepaga Swiss 2026/02;;;106.545,95;;;;2.581.769,70;;;
      274);;;11/02/26;Gasto Personal OSDE;;;1.185.610,09;;;;3.767.379,79;;;
      296);;;20/02/26;Compras: s/F A  Nº -00239422 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;165.962,62;;;;3.933.342,41;;;
      296);;;20/02/26;Compras: s/F A  Nº -00239422 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;3.319,25;;;;3.936.661,66;;;
      327);;;25/02/26;Gasto Personal;;;145.874,59;;;;4.082.536,25;;;
      398);;;04/03/26;Gasto Personal;;;32.049,73;;;;4.114.585,98;;;
      426);;;10/03/26;Gastos de Prepaga Swiss 2026/03;;;111.775,35;;;;4.226.361,33;;;
      438);;;12/03/26;Gasto Personal;;;35.812,90;;;;4.262.174,23;;;
      488);;;26/03/26;Compras: s/F A  Nº -00241398 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;172.797,69;;;;4.434.971,92;;;
      488);;;26/03/26;Compras: s/F A  Nº -00241398 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;3.455,95;;;;4.438.427,87;;;
      619);;;10/04/26;Gastos de Prepaga Swiss 2026/04;;;62.694,25;;;;4.501.122,12;;;
      658);;;23/04/26;Compras: s/F A  Nº -00243553 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;176.875,68;;;;4.677.997,80;;;
      658);;;23/04/26;Compras: s/F A  Nº -00243553 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;3.537,51;;;;4.681.535,31;;;
      792);;;11/05/26;Gastos de Prepaga;;;232.389,00;;;;4.913.924,31;;;
      812);;;26/05/26;Compras: s/F A  Nº -00245325 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;188.839,80;;;;5.102.764,11;;;
      812);;;26/05/26;Compras: s/F A  Nº -00245325 - GALENO ARGENTINA SOCIEDAD ANONIMA;;;3.776,80;;;;5.106.540,91;;;
;;;;;;;5.106.540,91;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.03.01 - INGRESOS BRUTOS (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      197);;;31/01/26;Devengamiento IIBB Enero 2026;;;1.351.553,76;;;;1.351.553,76;;;
      343);;;28/02/26;Devengamiento IIBB Febrero 2026;;;1.007.865,13;;;;2.359.418,89;;;
      523);;;31/03/26;Devengamiento IIBB Marzo 2026;;;680.427,36;;;;3.039.846,25;;;
;;;;;;;3.039.846,25;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.03.02 - GASTOS MOVILIDAD Y FLETES (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      125);;;19/01/26;Compras: s/F C  Nº -00000669 - ALLER ROCIO BELEN;;;35.000,00;;;;35.000,00;;;
;;;;;;;35.000,00;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.03.03 - GASTOS VARIOS (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      572);;;01/04/26;Compras: s/F A  Nº -00004118 - CRAVERO NEGOCIOS S.A.;;;10.000,00;;;;10.000,00;;;
      573);;;01/04/26;Compras: s/F A  Nº -00004119 - CRAVERO NEGOCIOS S.A.;;;12.418,60;;;;22.418,60;;;
      797);;;12/05/26;Cierre de Cuenta Galicia-Decision Comercial Galicia;;;;;9,00;;22.409,60;;;
;;;;;;;22.418,60;;9,00;;;;;
;;;;;;;;;;;;;;
04.02.03.05 - GASTOS BANCARIOS (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      45);;;02/01/26;Compras: s/OC  Nº -00215625 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;2.735,01;;;;2.735,01;;;
      46);;;02/01/26;Compras: s/OC  Nº -04001678 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;513.724,78;;;;516.459,79;;;
      64);;;05/01/26;Compras: s/OC  Nº -72110420 - BANCO SANTANDER RIO SA;;;4.332,91;;;;520.792,70;;;
      144);;;20/01/26;Pago Prestamo Macro-Cuota 9;;;3.072,45;;;;523.865,15;;;
      158);;;23/01/26;Cobros: s/ Rec. Nº2106 - GEA S.A.;;;7.618,16;;;;531.483,31;;;
      192);;;31/01/26;Gastos y Comisiones Bancarias-Santander;;;622.219,46;;;;1.153.702,77;;;
      192);;;31/01/26;(Sellos) Gastos y Comisiones Bancarias-Santander;;;18.611,60;;;;1.172.314,37;;;
      199);;;31/01/26;Gastos y Comisiones Bancarias-Banco Ciudad;;;53.341,32;;;;1.225.655,69;;;
      199);;;31/01/26;(Sellos) Gastos y Comisiones Bancarias-Banco Ciudad;;;53,07;;;;1.225.708,76;;;
      200);;;31/01/26;Compras: s/OC  Nº -31012026 - BANCO MACRO CTA CTE;;;53.700,00;;;;1.279.408,76;;;
      201);;;31/01/26;(Sellos) Gastos Bancarios Banco Frances;;;46,44;;;;1.279.455,20;;;
      203);;;31/01/26;(Sellos) Gastos Bancarios Banco Galicia;;;43,65;;;;1.279.498,85;;;
      206);;;31/01/26;(sellos) Gastos Bancarios - Banco Macro;;;39,70;;;;1.279.538,55;;;
      230);;;01/02/26;Compras: s/OC  Nº -73031720 - BANCO SANTANDER RIO SA;;;11.565,87;;;;1.291.104,42;;;
      231);;;01/02/26;Compras: s/OC  Nº -82817110 - BANCO SANTANDER RIO SA;;;12.572,40;;;;1.303.676,82;;;
      232);;;01/02/26;Compras: s/OC  Nº -08660637 - BANCO SANTANDER RIO SA;;;6.122,02;;;;1.309.798,84;;;
      233);;;01/02/26;Compras: s/OC  Nº -08976493 - BANCO SANTANDER RIO SA;;;21.272,51;;;;1.331.071,35;;;
      245);;;03/02/26;Compras: s/OC  Nº -72110421 - BANCO SANTANDER RIO SA;;;3.473,13;;;;1.334.544,48;;;
      259);;;06/02/26;Compras: s/OC  Nº -08976494 - BANCO SANTANDER RIO SA;;;20.646,85;;;;1.355.191,33;;;
      265);;;09/02/26;Compras: s/OC  Nº -86606308 - BANCO SANTANDER RIO SA;;;5.195,18;;;;1.360.386,51;;;
      291);;;18/02/26;Compras: s/OC  Nº -82817111 - BANCO SANTANDER RIO SA;;;12.037,85;;;;1.372.424,36;;;
      303);;;20/02/26;Cobros: s/ Rec. Nº200010018 - GEA S.A.;;;9.217,97;;;;1.381.642,33;;;
      329);;;25/02/26;Pago Prestamo Macro-Cuota 10;;;17.654,58;;;;1.399.296,91;;;
      341);;;28/02/26;Gastos y Comisiones Bancarias-Santander;;;160.115,00;;;;1.559.411,91;;;
      341);;;28/02/26;(Sellos) Gastos y Comisiones Bancarias-Santander;;;11.485,57;;;;1.570.897,48;;;
      345);;;28/02/26;Gastos y Comisiones Bancarias-Banco Ciudad;;;53.341,32;;;;1.624.238,80;;;
      345);;;28/02/26;(Sellos) Gastos y Comisiones Bancarias-Banco Ciudad;;;31,43;;;;1.624.270,23;;;
      346);;;28/02/26;(Sellos) Gastos Bancarios Banco Frances;;;12,39;;;;1.624.282,62;;;
      348);;;28/02/26;(Sellos) Gastos Bancarios Banco Galicia;;;38,09;;;;1.624.320,71;;;
      350);;;28/02/26;(sellos) Gastos Bancarios - Banco Macro;;;11,47;;;;1.624.332,18;;;
      351);;;28/02/26;Compras: s/OC  Nº -00202602 - BANCO MACRO CTA CTE;;;60.052,89;;;;1.684.385,07;;;
      382);;;02/03/26;Compras: s/OC  Nº -0003910073031702 - BANCO SANTANDER RIO SA;;;9.556,57;;;;1.693.941,64;;;
      386);;;03/03/26;Compras: s/OC  Nº -0003910072110402 - BANCO SANTANDER RIO SA;;;2.391,83;;;;1.696.333,47;;;
      408);;;06/03/26;Compras: s/OC  Nº -0003910089764903 - BANCO SANTANDER RIO SA;;;18.083,65;;;;1.714.417,12;;;
      418);;;09/03/26;Compras: s/OC  Nº -0003910086606303 - BANCO SANTANDER RIO SA;;;3.823,18;;;;1.718.240,30;;;
      444);;;14/03/26;Compras: s/OC  Nº -0003910082817103 - BANCO SANTANDER RIO SA;;;10.186,83;;;;1.728.427,13;;;
      466);;;20/03/26;Gastos y Comisiones Bancarias-Santander;;;149.395,00;;;;1.877.822,13;;;
      466);;;20/03/26;(Sellos) Gastos y Comisiones Bancarias-Santander;;;12.309,65;;;;1.890.131,78;;;
      469);;;20/03/26;Cobros: s/ Rec. Nº200010038 - GEA S.A.;;;9.734,82;;;;1.899.866,60;;;
      484);;;25/03/26;Pago Prestamo Macro-Cuota 11;;;1.588,74;;;;1.901.455,34;;;
      493);;;30/03/26;Compras: s/OC  Nº -0003910072110403 - BANCO SANTANDER RIO SA;;;1.563,29;;;;1.903.018,63;;;
      494);;;30/03/26;Compras: s/OC  Nº -0003910073031703 - BANCO SANTANDER RIO SA;;;6.622,28;;;;1.909.640,91;;;
      501);;;31/03/26;Gastos y Comisiones Bancarias-Santander;;;94.980,00;;;;2.004.620,91;;;
      501);;;31/03/26;(Sellos) Gastos y Comisiones Bancarias-Santander;;;1.943,23;;;;2.006.564,14;;;
      513);;;31/03/26;(Sellos) Gastos Bancarios Banco Galicia;;;14,31;;;;2.006.578,45;;;
      515);;;31/03/26;Gastos y Comisiones Bancarias-Banco Ciudad;;;72.420,82;;;;2.078.999,27;;;
      515);;;31/03/26;(Sellos) Gastos y Comisiones Bancarias-Banco Ciudad;;;15,44;;;;2.079.014,71;;;
      516);;;31/03/26;(sellos) Gastos Bancarios - Banco Macro;;;13,87;;;;2.079.028,58;;;
      517);;;31/03/26;Compras: s/OC  Nº -00202603 - BANCO MACRO CTA CTE;;;61.387,61;;;;2.140.416,19;;;
      576);;;01/04/26;Compras: s/OC  Nº -00202601 - BANCO BBVA ARGENTINA;;;59.000,00;;;;2.199.416,19;;;
      577);;;01/04/26;Compras: s/OC  Nº -00202602 - BANCO BBVA ARGENTINA;;;59.000,00;;;;2.258.416,19;;;
      578);;;01/04/26;Compras: s/OC  Nº -00202603 - BANCO BBVA ARGENTINA;;;59.000,00;;;;2.317.416,19;;;
      579);;;01/04/26;Compras: s/OC  Nº -00202603 - BANCO GALICIA;;;95.000,00;;;;2.412.416,19;;;
      580);;;01/04/26;Compras: s/OC  Nº -00202602 - BANCO GALICIA;;;62.148,00;;;;2.474.564,19;;;
      581);;;01/04/26;Compras: s/OC  Nº -00202601 - BANCO GALICIA;;;55.000,00;;;;2.529.564,19;;;
      592);;;06/04/26;Compras: s/OC  Nº -0003910089764906 - BANCO SANTANDER RIO SA;;;19.395,53;;;;2.548.959,72;;;
      609);;;09/04/26;Compras: s/OC  Nº -0003910086606310 - BANCO SANTANDER RIO SA;;;3.233,54;;;;2.552.193,26;;;
      626);;;14/04/26;Compras: s/OC  Nº -0003910082817113 - BANCO SANTANDER RIO SA;;;10.483,03;;;;2.562.676,29;;;
      653);;;23/04/26;Cobros: s/ Rec. Nº200010054 - GEA S.A.;;;8.045,30;;;;2.570.721,59;;;
      681);;;28/04/26;Compras: s/OC  Nº -0003910073031723 - BANCO SANTANDER RIO SA;;;4.838,05;;;;2.575.559,64;;;
      692);;;30/04/26;(Sellos) Gastos Bancarios Banco Galicia;;;18,91;;;;2.575.578,55;;;
      693);;;30/04/26;Compras: s/OC  Nº -00202604 - BANCO BBVA ARGENTINA;;;62.900,00;;;;2.638.478,55;;;
      694);;;30/04/26;Compras: s/OC  Nº -00202604 - BANCO GALICIA;;;60.000,00;;;;2.698.478,55;;;
      696);;;30/04/26;Gastos y Comisiones Bancarias-Banco Ciudad;;;53.341,32;;;;2.751.819,87;;;
      696);;;30/04/26;(Sellos) Gastos y Comisiones Bancarias-Banco Ciudad;;;17,92;;;;2.751.837,79;;;
      697);;;30/04/26;(sellos) Gastos Bancarios - Banco Macro;;;2,52;;;;2.751.840,31;;;
      698);;;30/04/26;Compras: s/OC  Nº -00202604 - BANCO MACRO CTA CTE;;;60.052,89;;;;2.811.893,20;;;
      700);;;30/04/26;Compras: s/OC  Nº -00202604 - BANCO SANTANDER RIO SA;;;263.915,00;;;;3.075.808,20;;;
      701);;;30/04/26;(Sellos) Gastos Bancarios Santander;;;12.058,04;;;;3.087.866,24;;;
      735);;;04/05/26;(Sellos) Movimientos Banco Ciudad;;;37,99;;;;3.087.904,23;;;
      736);;;04/05/26;(Sellos) Movimientos Banco Macro;;;16,00;;;;3.087.920,23;;;
      737);;;04/05/26;Movimientos Banco Galicia;;;60.000,00;;;;3.147.920,23;;;
      738);;;04/05/26;movimientos Banco Frances;;;59.950,00;;;;3.207.870,23;;;
      798);;;12/05/26;(Sellos) Gastos Bancarios Santander;;;2.828,50;;;;3.210.698,73;;;
      801);;;13/05/26;Comisiones Bancarias Frances;;;1.500,00;;;;3.212.198,73;;;
      815);;;27/05/26;Cobros: s/ Rec. Nº200010073 - GEA S.A.;;;9.734,82;;;;3.221.933,55;;;
;;;;;;;3.221.933,55;;0,00;;;;;
;;;;;;;;;;;;;;
04.02.03.12 - HONORARIOS (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      90);;;12/01/26;Compras: s/F C  Nº -00000137 - MORABITO FEDERICO JAVIER;;;216.500,00;;;;216.500,00;;;
      168);;;26/01/26;Compras: s/F C  Nº -00000069 - LUCAS LEONARDO EIROS;;;5.000.000,00;;;;5.216.500,00;;;
      193);;;31/01/26;Compras: s/F C  Nº -00000093 - YOMHA DANTE;;;5.800.000,00;;;;11.016.500,00;;;
      194);;;31/01/26;Compras: s/F C  Nº -00000170 - YOMHA GALILEO;;;2.500.000,00;;;;13.516.500,00;;;
      195);;;31/01/26;Compras: s/F C  Nº -00000090 - YOMHA FRANCO;;;5.800.000,00;;;;19.316.500,00;;;
      308);;;23/02/26;Compras: s/F C  Nº -00000139 - MORABITO FEDERICO JAVIER;;;216.500,00;;;;19.533.000,00;;;
      338);;;28/02/26;Compras: s/F C  Nº -00000094 - YOMHA DANTE;;;5.800.000,00;;;;25.333.000,00;;;
      339);;;28/02/26;Compras: s/F C  Nº -00000171 - YOMHA GALILEO;;;5.800.000,00;;;;31.133.000,00;;;
      340);;;28/02/26;Compras: s/F C  Nº -00000091 - YOMHA FRANCO;;;5.800.000,00;;;;36.933.000,00;;;
      434);;;12/03/26;Compras: s/F C  Nº -00000142 - MORABITO FEDERICO JAVIER;;;238.200,00;;;;37.171.200,00;;;
      491);;;27/03/26;Compras: s/F C  Nº -00000070 - LUCAS LEONARDO EIROS;;;12.000.000,00;;;;49.171.200,00;;;
      505);;;31/03/26;Compras: s/F C  Nº -00000071 - LUCAS LEONARDO EIROS;;;6.000.000,00;;;;55.171.200,00;;;
      506);;;31/03/26;Compras: s/F C  Nº -00000095 - YOMHA DANTE;;;5.800.000,00;;;;60.971.200,00;;;
      507);;;31/03/26;Compras: s/F C  Nº -00000172 - YOMHA GALILEO;;;5.800.000,00;;;;66.771.200,00;;;
      508);;;31/03/26;Compras: s/F C  Nº -00000092 - YOMHA FRANCO;;;5.800.000,00;;;;72.571.200,00;;;
      586);;;03/04/26;Compras: s/F C  Nº -00000144 - MORABITO FEDERICO JAVIER;;;238.200,00;;;;72.809.400,00;;;
      668);;;27/04/26;Compras: s/F C  Nº -00000072 - LUCAS LEONARDO EIROS;;;6.000.000,00;;;;78.809.400,00;;;
      705);;;30/04/26;Compras: s/F C  Nº -00000096 - YOMHA DANTE;;;5.800.000,00;;;;84.609.400,00;;;
      706);;;30/04/26;Compras: s/F C  Nº -00000175 - YOMHA GALILEO;;;3.300.000,00;;;;87.909.400,00;;;
      707);;;30/04/26;Compras: s/F C  Nº -00000093 - YOMHA FRANCO;;;5.800.000,00;;;;93.709.400,00;;;
      712);;;30/04/26;Compras: s/NC C  Nº -00000002 - YOMHA GALILEO;;;;;3.300.000,00;;90.409.400,00;;;
      713);;;30/04/26;Compras: s/NC C  Nº -00000001 - YOMHA DANTE;;;;;5.800.000,00;;84.609.400,00;;;
      714);;;30/04/26;Compras: s/NC C  Nº -00000001 - YOMHA FRANCO;;;;;5.800.000,00;;78.809.400,00;;;
      772);;;07/05/26;Compras: s/F C  Nº -00000090 - KOUTOUDJIAN NATALIA INES;;;4.000.000,00;;;;82.809.400,00;;;
      773);;;07/05/26;Compras: s/F C  Nº -00000169 - MANTESE JUAN JOSE;;;2.500.000,00;;;;85.309.400,00;;;
      789);;;11/05/26;Compras: s/F C  Nº -00000147 - MORABITO FEDERICO JAVIER;;;238.200,00;;;;85.547.600,00;;;
      790);;;11/05/26;Compras: s/F C  Nº -00000148 - MORABITO FEDERICO JAVIER;;;53.800,00;;;;85.601.400,00;;;
      800);;;12/05/26;Compras: s/F C  Nº -00000073 - LUCAS LEONARDO EIROS;;;6.000.000,00;;;;91.601.400,00;;;
;;;;;;;106.501.400,00;;14.900.000,00;;;;;
;;;;;;;;;;;;;;
04.02.03.13 - HONORARIOS LEGALES (R);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
